path	prompt	old_hash	hash_a	hash_b	action	metadata_canonical	class	decision
03_infra/src/layout_bidi.rs	00_nucleo/prompts/infra/layout_bidi.md	323e30f3	bd71a2b0	4883bd99	would_fix	no	missing_metadata	blocked_partial_write
03_infra/src/lib.rs	00_nucleo/prompts/infra.md	8e65820e	5626f2b7	4cc717a7	would_fix	yes	shared_prompt	blocked_multi_consumer
03_infra/src/measurements.rs	00_nucleo/prompts/infra/measurements.md	dd7103a5	ae42dc66	51502962	would_fix	no	missing_metadata	blocked_partial_write
03_infra/src/p307b_snapshot_tests.rs	00_nucleo/prompts/infra/export-fixtures.md	9228792a	ac3468ab	705cb4e7	would_fix	yes	single_consumer	candidate_after_linter_fix
03_infra/src/package_downloader.rs	00_nucleo/prompts/infra/package_downloader.md	1a4a4691	0b887d9c	22057f95	would_fix	no	missing_metadata	blocked_partial_write
03_infra/src/pipeline.rs	00_nucleo/prompts/infra/pipeline.md	81869605	c4da9e3f	7e067213	would_fix	yes	single_consumer	candidate_after_linter_fix
03_infra/src/plugin_host.rs	00_nucleo/prompts/infra/plugin_host.md	d38eed51	7581a260	fbc7d62d	would_fix	yes	single_consumer	candidate_after_linter_fix
03_infra/src/project_init.rs	00_nucleo/prompts/shell/init.md	1b601c5e	2a4a0efd	e636235b	would_fix	yes	single_consumer	candidate_after_linter_fix
03_infra/src/query_helpers.rs	00_nucleo/prompts/infra/query-helpers.md	3e7c7067	e1a5c43d	b6e32f90	would_fix	yes	single_consumer	candidate_after_linter_fix
03_infra/src/runtime_info.rs	00_nucleo/prompts/shell/info.md	635e6f98	92a7d32a	16249cb6	would_fix	yes	shared_prompt	blocked_multi_consumer
03_infra/src/shaper.rs	00_nucleo/prompts/infra/shaper.md	8ee1f744	13be1ba1	de355de7	would_fix	no	missing_metadata	blocked_partial_write
03_infra/src/watch.rs	00_nucleo/prompts/shell/watch.md	3daea150	0f218b5b	257f724f	would_fix	yes	single_consumer	candidate_after_linter_fix
03_infra/src/world.rs	00_nucleo/prompts/infra/system-world.md	1a5886d2	315043bb	28cc53ff	would_fix	yes	single_consumer	candidate_after_linter_fix
04_wiring/src/eviction.rs	00_nucleo/prompts/wiring/eviction.md	7ac7b48b	a8955734	76195d6f	would_fix	yes	single_consumer	candidate_after_linter_fix
04_wiring/src/main.rs	00_nucleo/prompts/wiring.md	d9d665d7	8f480a98	f7f446e5	would_fix	yes	shared_prompt	blocked_multi_consumer
04_wiring/tests/crystalline_lint.rs	00_nucleo/prompts/wiring.md	d9d665d7	8f480a98	85073c87	would_fix	yes	shared_prompt	blocked_multi_consumer
